億	Ức		100 triệu
猿	Viên	Con khỉ
弁	Biện	Biện luận
升	Thăng	Đơn vị đo, lên
昇	Thăng	Thăng chức
送	Tống	Đưa đi
笑	Tiếu	Cười
咲	Tiếu	Nở hoa
横	Hoành	Hoành tráng
録	Lục		Kỷ lục
緑	Lục		Xanh lá cây
踊	Dũng	Nhảy múa
湧	Dũng	Sôi sục
庁	Sảnh	Đại sảnh
貯	Trữ		Tích trữ
関	Quan	Liên quan
闘	Đấu		Chiến đấu
欄	Lan		Lan can
潤	Nhuận	Lợi nhuận
閣	Các		Nội các
閥	Phiệt	Quân phiệt
材	Tài		Tài nguyên
財	Tài		Tài chính
牙	Nha		Răng
芽	Nha		Mạch nha
干	Can		Khô
遅	Trì		Muộn
類	Loại	Chủng loại
灰	Hôi		Tro
尻	Khào	Mông
棚	Bằng	Cái giá
炭	Than	Than đá
岸	Ngạn	Bờ biển
嵐	Lam		Bão tố
崩	Băng	Phá hủy
頑	Ngoan	Ngoan cố
玩	Ngoạn	Du ngoạn
冠	Quán	Đứng đầu
頰	Giáp	Cái má
額	Ngạch	Cái trán
括	Quát	Bao quát
乱	Loạn	Hỗn loạn
忌	Kị		Đố kị
改	Cải		Cải cách
妃	Phi		Phi tần
流	Lưu		Giao lưu
硫	Lưu		Lưu huỳnh
掃	Tảo		Quét, dọn
婦	Phụ		Phụ nữ
涼	Lương	Mát mẻ
停	Đình	Đình chỉ
祈	Kỳ		Cầu chúc
匠	Tượng	Thợ
逝	Thệ		Chết
誓	Thệ		Tuyên thệ
析	Tích	Phân tích
老	Lão		Người già
考	Khảo	Suy nghĩ
拷	Khảo	Tra khảo
酵	Giếu	Lên men
弔	Điếu	Viếng thi
第	Đệ		Đệ nhất
鋭	Nhuệ	Nhọn, sắc
脱	Thoát	Thoát y
悦	Duyệt	Mãn nguyện
攻	Công	Công kích
貢	Cống	Cống hiến
空	Không	Không khí
控	Khống	Khống chế
窓	Song	Cửa sổ
翁	Ông		Ông già
鉱	Khoáng	Khoáng sản
拡	Khuếch	Khuếch đại
盟	Minh	Đồng minh
炉	Lô		Cái lò
所	Sở		Nơi chốn
声	Thanh	Âm thanh
稿	Cảo		Bản thảo
豪	Hào		Hào hoa
橋	Kiều	Cây cầu
矯	Kiểu	Nắn thẳng
郊	Ngoại	Ngoại ô
効	Hiệu	Hiệu quả
苦	Khổ		Khốn khổ
枯	Khô		Khô héo
居	Cư		Cư trú
据	Cư		Lắp đặt
裾	Cư		Vạt áo
固	Cố		Kiên cố
故	Cố		Sự cố
湖	Hồ		Cái hồ
個	Cá		Cá thể, đếm
箇	Cá		Số đếm
定	Định	Cố định
錠	Đĩnh	Cái khóa
綻	Trán	Đường khâu
廷	Đình	Triều đình
庭	Đình	Sân vườn
艇	Đĩnh	Thuyền nhỏ
従	Tòng	Làm theo
縦	Tung	Trục tung
延	Duyên	Kéo dài
誕	Đản		Sinh ra
